suite,benchmark,#steps,dspv2 solved?,unigram solved?
proverbench@1,number_theory__p13,78,0,0
proverbench@1,number_theory__p14,18,0,-1
proverbench@1,number_theory__p15,-1,0,-2
proverbench@1,number_theory__p16,9,0,0
proverbench@1,number_theory__p17,-1,0,-2
proverbench@1,number_theory__p18_1,2,1,0
proverbench@1,number_theory__p18_2,2,1,0
proverbench@1,number_theory__p18_3,-1,0,-2
proverbench@1,number_theory__p18_4,-1,0,-2
proverbench@1,number_theory__p18_5,-1,0,-2
proverbench@1,number_theory__p18_6,-1,0,-2
proverbench@1,number_theory__p19_1,5,0,-1
proverbench@1,number_theory__p19_2,2,0,0
proverbench@1,number_theory__p20,-1,0,-2
proverbench@1,number_theory__p21,4,0,-1
proverbench@1,number_theory__p22,9,1,-1
proverbench@1,number_theory__p23,-1,0,-2
proverbench@1,number_theory__p24,26,0,-1
proverbench@1,number_theory__p25,14,1,0
proverbench@1,number_theory__p26,18,0,-1
proverbench@1,number_theory__p27,9,0,0
proverbench@1,number_theory__p28,30,0,-1
proverbench@1,number_theory__p29,18,0,0
proverbench@1,number_theory__p30,33,0,-1
proverbench@1,number_theory__p31,93,0,0
proverbench@1,number_theory__p32,27,0,0
proverbench@1,probability__p1_1,12,0,0
proverbench@1,probability__p1_2,2,0,-1
proverbench@1,probability__p1_3,-1,0,-2
proverbench@1,probability__p1_4,-1,0,-2
proverbench@1,probability__p2_1,2,0,0
proverbench@1,probability__p2_2,2,0,0
proverbench@1,probability__p2_3,-1,0,-2
proverbench@1,probability__p2_4,3,0,-1
proverbench@1,probability__p3_1,-1,0,-2
proverbench@1,probability__p3_2,-1,0,-2
proverbench@1,real_analysis__p1,-1,0,-2
proverbench@1,real_analysis__p2_1,-1,0,-2
proverbench@1,real_analysis__p2_2,-1,0,-2
proverbench@1,real_analysis__p2_3,-1,0,-2
proverbench@1,real_analysis__p3_1,-1,0,-2
proverbench@1,real_analysis__p3_2,-1,0,-2
proverbench@1,real_analysis__p4,17,0,0
proverbench@1,real_analysis__p5,21,0,0
proverbench@1,real_analysis__p6_1,-1,0,-2
proverbench@1,real_analysis__p6_2,2,0,-1
proverbench@1,real_analysis__p6_3,-1,0,-2
proverbench@1,real_analysis__p6_4,-1,0,-2
proverbench@1,real_analysis__p7_1,19,0,0
proverbench@1,real_analysis__p7_2,-1,0,-2
proverbench@1,real_analysis__p7_3,-1,0,-2
proverbench@1,real_analysis__p7_4,22,0,-1
proverbench@1,real_analysis__p7_5,5,0,-1
proverbench@1,real_analysis__p8_1,4,1,0
proverbench@1,real_analysis__p8_2,-1,0,-2
proverbench@1,real_analysis__p8_3,2,1,0
proverbench@1,real_analysis__p9,-1,0,-2
proverbench@1,real_analysis__p10,-1,0,-2
proverbench@1,real_analysis__p11,-1,0,-2
proverbench@1,real_analysis__p12_1,3,1,0
proverbench@1,real_analysis__p12_2,-1,0,-2
proverbench@1,real_analysis__p12_3,-1,0,-2
proverbench@1,real_analysis__p13_1,7,1,0
proverbench@1,real_analysis__p13_2,8,1,0
proverbench@1,real_analysis__p13_3,-1,0,-2
proverbench@1,real_analysis__p14,-1,0,-2
